code,name,latitude,longitude,yearid
6916,Parc du Pélican (2e avenue / St-Joseph),45.544513,-73.571564,2014
6035,Viger/Jeanne Mance,45.504803,-73.5612,2014
6040,St-Jacques / St-Pierre,45.5028,-73.55917,2014
6247,St-Dominique / St-Zotique,45.53228145673193,-73.61099146306516,2014
6271,Casgrain / de Bellechasse,45.529993,-73.604214,2014
6747,Waverly / St-Zotique,45.5306,-73.614616,2014
6011,St-André / St-Antoine,45.51408729999999,-73.55230004,2014
6065,de la Montagne / Sherbrooke,45.4996771,-73.57884854,2014
6277,Elsdale/ Louis-Hebert,45.54918032376485,-73.59385818243027,2014
6381,Omer-Lavallée / Midway,45.5457759528664,-73.56217458844183,2014
6219,de l'Hôtel-de-Ville / Roy,45.517333103257826,-73.57443630695344,2014
6133,Terrasse Mercure / Fullum,45.535614,-73.566014,2014
6371,4e avenue / Masson,45.546978,-73.575515,2014
6106,René-Lévesque / Papineau,45.52114,-73.54926,2014
6046,de la Gauchetière / Mansfield,45.498709999999996,-73.56671,2014
6185,des Érables / Bélanger,45.5491255,-73.60091239,2014
6195,de Bullion / St-Joseph,45.5240365462478,-73.59014332294464,2014
6050,de la Commune / McGill,45.498673100000005,-73.55256289,2014
6131,Fullum / Sherbrooke ,45.533924,-73.562425,2014
6335,du Rosaire / St-Hubert,45.54467,-73.621581,2014
6421,Cartier / Rosemont,45.541198,-73.59094300000001,2014
6200,Maguire / St-Laurent,45.524570000000004,-73.59588000000001,2014
6129,de Bordeaux / Sherbrooke,45.530027060788136,-73.5631763935089,2014
6212,Duluth / de l'Esplanade,45.51517174448816,-73.58100235462189,2014
6259,Dandurand / de Lorimier,45.540881,-73.58415699999999,2014
6376,16e avenue / St-Joseph,45.552923097315514,-73.56575198471545,2014
6022,Angus (Molson / William-Tremblay),45.54172920185872,-73.56549382209778,2014
6281,Resther / St-Joseph,45.5277271,-73.58628362,2014
6031,St-Antoine / St-François-Xavier,45.504490000000004,-73.5592,2014
6229,Coloniale / du Mont-Royal,45.521155685854765,-73.58558893203734,2014
6111,Parthenais / Ste-Catherine,45.526206137951355,-73.5492503643036,2014
6121,Rouen / du Havre,45.53486372513362,-73.55545459320638,2014
6349,Ryde / Charlevoix,45.4757434,-73.5646007,2014
6024,des Érables / Sherbrooke,45.531366999999996,-73.562624,2014
6234,Bernard / Clark,45.52697,-73.60261,2014
6344,St-Dominique / Jean-Talon,45.535189,-73.617459,2014
6908,de Bellechasse / de St-Vallier,45.533194935722705,-73.60117256641388,2014
6086,Shannon / Ottawa,45.49457934841001,-73.55875611305238,2014
6103,Lespérance / Rouen,45.538799,-73.55249599999999,2014
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,2014
6075,University / des Pins,45.508356,-73.58049799999999,2014
6013,Sanguinet / de Maisonneuve,45.51339,-73.56255,2014
6119,Dorion / Ontario,45.52697,-73.558021,2014
6037,St-Nicolas / Place d'Youville,45.50197437877896,-73.55515658855437,2014
6913,Drolet / Beaubien,45.533348,-73.605834,2014
6377,Grand Trunk / Hibernia,45.47968,-73.56385,2014
6260,Dandurand / Papineau,45.538589,-73.586302,2014
6096,Lucien L'Allier / St-Jacques,45.49356916133978,-73.56857568025589,2014
6197,Bordeaux / Masson,45.53895775569035,-73.58243197202681,2014
6257,de St-Vallier / St-Zotique,45.536299,-73.607773,2014
6924,de Bordeaux / Jean-Talon,45.54970407823863,-73.60551238059999,2014
